Park Name,County,Park Identifier,Park Address,Fire Authority,Jurisdiction,MH Spaces,RV Lots w/Drains,RV Lots w/o Drains,Operated By
LONEHILL MANOR LIMITED PARTNERSHIP,LOS ANGELES,19-1373-MP,"1205 W CYPRESS AVE, SAN DIMAS, CA,  91773,  (714) 592-3831","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",265,0,0,"DUNEX, INC GENERAL PARTNER, 1940 W. ORANGEWOOD AVE #209, ORANGE,  CA,  92868, "
CIENEGA VALLEY MOBILE ESTATES,LOS ANGELES,19-1398-MP,"1245 W CIENEGA, SAN DIMAS, CA,  91773,  (909) 599-4518","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",242,0,0,"H&S INVESTMENTS, 9150 WILSHIRE BLVD #300, BEVERLY HILLS,  CA,  90212, "
EAST SHORE RV PARK,LOS ANGELES,19-1511-MP,"1440 CAMPER VIEW RD, SAN DIMAS, CA,  91773,  (909) 599-8355","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,519,25,"COOK, PHYLLIS, 1440 CAMPER VIEW RD, SAN DIMAS,  CA,  91773, "
CHARTER OAK MOBILE ESTATES,LOS ANGELES,19-1040-MP,"801 W COVINA BLVD, SAN DIMAS, CA,  91773,  (909) 599-2939","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",185,0,0,"CITY OF SAN DIMAS, 245 EAST BONITA AVENUE, SAN DIMAS,  CA,  91773, "
MOBILELAND,LOS ANGELES,19-1301-MP,"1635 W COVINA BLVD, SAN DIMAS, CA,  91773,  (818) 331-5456","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",103,0,0,"JDH CAPITAL LLC, 22231 MULHOLLAND HWY #101, CALABASAS,  CA,  91302, "
MOUNTAIN VIEW ESTATES,LOS ANGELES,19-1538-MP,"2131 W SAN BERNARDINO RD, WEST COVINA, CA,  91790,  (626) 962-4707","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",108,0,0,"HOMETOWN AMERICA MANAGEMENT LP, 110 N WACKER DR STE 4500, CHICAGO,  IL,  60606, "
BLUE HEAVEN MHP,RIVERSIDE,33-0478-MP,"39556 PETERSON RD, RANCHO MIRAGE, CA,  92270,  (619) 328-2600","undefined , undefined, undefined, undefined,undefined,undefined,","RANCHO MIRAGE, MOBILEHOME PARKS PROGRAM 69-825 HWY 111,  RANCHO MIRAGE,  CA,  92270,  (760) 202-9253, MURCHALL- CBO, JACK",14,2,0,"HOUSING AUTHORITY CITY OF RANCHO MIRAGE, 69-825 HWY 111, RANCHO MIRAGE,  CA,  92270, "
BLUE SKIES VILLAGE,RIVERSIDE,33-0477-MP,"70 260 HWY 111, RANCHO MIRAGE, CA,  92270,  (760) 328-2600","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","RANCHO MIRAGE, MOBILEHOME PARKS PROGRAM 69-825 HWY 111,  RANCHO MIRAGE,  CA,  92270,  (760) 202-9253, MURCHALL- CBO, JACK",141,0,0,"BLUE SKIES VILLAGE HOA, 70-260 HWY 111, RANCHO MIRAGE,  CA,  92270, "
RANCHO MIRAGE MOBILEHOME COMMUNITY,RIVERSIDE,33-0479-MP,"69975 FRANK SINATRA DR, RANCHO MIRAGE, CA,  92270,  (760) 328-7664","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","RANCHO MIRAGE, MOBILEHOME PARKS PROGRAM 69-825 HWY 111,  RANCHO MIRAGE,  CA,  92270,  (760) 202-9253, MURCHALL- CBO, JACK",288,0,0,"RANCHO MIRAGE MOBILEHOME COMMUNITYLP, PO BOX 11427, SANTA ANA,  CA,  92711, "
RANCHO MIRAGE RV & MOBILE VILLAGE LLC,RIVERSIDE,33-0476-MP,"70 210 HWY 111, RANCHO MIRAGE, CA,  92270,  (760) 328-1177","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","RANCHO MIRAGE, MOBILEHOME PARKS PROGRAM 69-825 HWY 111,  RANCHO MIRAGE,  CA,  92270,  (760) 202-9253, MURCHALL- CBO, JACK",48,24,0,"PACERA, PAUL, PO BOX 1949, RANCHO MIRAGE,  CA,  92270, "
29 PALMS RV RESORT,SAN BERNARDINO,36-0672-MP,"4949 DESERT KNOLL, TWENTYNINE PALMS, CA,  92277,  (760) 367-3320","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",175,22,0,"TALLEY, VICKIE, 30442 VIA CANTABRIA, SAN JUAN CAPISTRANO,  CA,  92675, "
DESERT OASIS MHP,SAN BERNARDINO,36-0013-MP,"72258 JOSHUA DR, TWENTYNINE PALMS, CA,  92277,  (760) 367-7821","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",34,0,0,"AUTEN, JULIA, 365 E AVE DE LOS ARBOLES, THOUSAND OAKS,  CA,  91360, "
SINGING TREE MOBILE HOME,SAN BERNARDINO,36-0191-MP,"74685 AMBOY ROAD, TWENTYNINE PALMS, CA,  92277,  (760) 409-4628","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",21,0,0,"WILHELM, THOMAS, 12679 PALM DR, DESERT HOT SPRINGS,  CA,  92240, "
SMITHS RANCH TP,SAN BERNARDINO,36-0196-MP,"4584 ADOBE RD, TWENTYNINE PALMS, CA,  92277,  (619) 367-7203","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",40,0,0,"SMITH, WILLIAM, 4584 ADOBE RD, TWENTYNINE PALMS,  CA,  92277, "
EDGE O TOWN MHP,SAN BERNARDINO,36-0065-MP,"71630 TWENTYNINE PALMS HWY, TWENTYNINE PALMS, CA,  92277,  (619) 367-9364","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",26,0,0,"ELLISON, SUNG, 2301 LOMICA PLACE, ESCONDIDO,  CA,  92029, "
EDGEWOOD MOBILE HOME VILLAGE,PLACER,31-0067-MP,"11705 EDGEWOOD RD, AUBURN, CA,  95603,  (530) 885-3633","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",142,0,0,"EDGEWOOD VILLAGE ASSOCIATES LLC, 22880 SAVI RANCH PKWY, YORBA LINDA,  CA,  92887, "
AUBURN RV RESORT INC,PLACER,31-13686-MP,"14400 MUSSO ROAD, AUBURN, CA,  95603,  (530) 906-4324","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,51,0,"AUBURN RV RESORT INC, PO BOX 3047, AUBURN,  CA,  95604, "
GOLDEN CHAIN MHP-P,PLACER,31-10020-MP,"2450 GRASS VALLEY HWY, AUBURN, CA,  95603,  ","undefined , undefined, undefined, undefined,undefined,undefined,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",,,,"undefined, undefined, undefined,  undefined,  undefined, "
WOODSIDE VILLAGE MHC,PLACER,31-0087-MP,"12155 LUTHER RD, AUBURN, CA,  95603,  (530) 885-9301","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",235,0,0,"KAY, LISA ANNE, 5976 LONGFORD WAY, COLORADO SPRINGS,  CO,  80927, "
AUBURN RIDGE WOODS,PLACER,31-0005-MP,"14135 MUSSO RD/HWY 80, AUBURN, CA,  95603,  (530) 368-9561","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",33,0,0,"HOWARD, PAUL, 8251 ALPINE AVE, SACRAMENTO,  CA,  95826, "
FLANIGAN'S MOBILE HOME COURT,PLACER,31-0020-MP,"4050 GRASS VALLEY HWY, AUBURN, CA,  95603,  (916) 817-9330","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",21,0,0,"KARPEL PROPERTIES LLC, 2100 VALLEY VIEW PKWY # 1718, EL DORADO HILLS,  CA,  95762, "
GOLDEN CHAIN MHP,PLACER,31-0051-MP,"2540 GRASS VALLEY HWY, AUBURN, CA,  95603,  (530) 885-7826","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",142,0,0,"SMITH TRUST FUND, 2441 STAFFORD RD, THOUSAND OAKS,  CA,  91361, "
ACRES OF HOPE,PLACER,31-0037-MP,"13675 BOWMAN RD, AUBURN, CA,  95603,  (530) 888-0136","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",24,15,0,"PLACER FAMILY HOUSING, PO BOX 238, AUBURN,  CA,  95604, "
AUBURN HILLS MOBILE ESTATES,PLACER,31-0011-MP,"1605 GRASS VALLEY HWY, AUBURN, CA,  95603,  (530) 889-0667","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",99,0,0,"BRUCE A. LYON TRUSTEE, 1311 LINCOLN WAY, AUBURN,  CA,  95603, "
ROYAL MOBILE MANOR,SONOMA,49-0051-MP,"6555  OLD REDWOOD HWY, WINDSOR, CA,  95492,  (707) 838-2546","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",79,12,0,"STRICKER FAMILY PARTNERSHIP, 22880 SAVI RANCH PKWY, YORBA LINDA,  CA,  92887, "
WINDSOR MOBILE COUNTRY CLUB,SONOMA,49-0094-MP,"8109 CONDE LN, WINDSOR, CA,  95492,  (707) 838-2524","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",334,0,0,"RESIDENT OWNED PARKS INC, 7420 GREENHAVEN DR #125, SACRAMENTO,  CA,  95831, "
WINDSORLAND,SONOMA,49-0140-MP,"9290 OLD REDWOOD HWY, WINDSOR, CA,  95492,  (707) 838-4882","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",131,63,11,"WINDSORLAND LLC, 9290 OLD REDWOOD HWY, WINDSOR,  CA,  95492, "
WINDSOR WINE COUNTRY RV PARK,SONOMA,49-0183-MP,"8225 CONDE LN, WINDSOR, CA,  95492,  (707) 838-4195","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",1,100,8,"WINDSOR RV, LLC, PO BOX 15274, NEWPORT BEACH,  CA,  92659, "
EVERGREEN MOBILE ESTATES,SONOMA,49-0148-MP,"10281 OLD REDWOOD HWY, WINDSOR, CA,  95492,  (707) 836-0134","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",23,0,0,"EVERGREEN WINDSOR MHP LLC, 6653 EMBARCADERO DR. SUITE # C, STOCKTON,  CA,  95219, "
SYCAMORE GARDENS MHP,KERN,15-0444-MP,"801 SCHIPPER ST, ARVIN, CA,  93203,  (661) 854-8315","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",89,0,0,"SYCAMORE GARDEN MOBILEHOME PARK L P, 1603 CALIFORNIA AVENUE SUITE # 122, BAKERSFIELD,  CA,  93301, "
BEAR MOUNTAIN TP,KERN,15-0042-MP,"364 NORTH A ST, ARVIN, CA,  93203,  (805) 327-1704","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",16,0,0,"BEAR MOUNTAIN TRAILER PARK LLC, 232 18TH ST, MANHATTAN BEACH,  CA,  90266, "
FALLBROOK MOBILE VILLAGE,KERN,15-0326-MP,"157 FALLBROOK, ARVIN, CA,  93203,  (949) 448-8290","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",33,0,0,"FALLBROOK LLC, 3308 EL CAMINO AVE SUITE 300-608, SACRAMENTO,  CA,  95821, "
SONSHINE PROPERTIES LLC/VINEYARD COUNTY,KERN,15-0419-MP,"11640 COMANCHE DR, DI GIORGIO, CA,  93203,  (805) 854-8445","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",80,0,0,"KIRSHENMAN, WAYNE, PO BOX 27, EDISON,  CA,  93220, "
RIVERNOOK CAMPGROUND,KERN,15-0337-MP,"14001 SIERRA WAY, KERNVILLE, CA,  93238,  (760) 376-2705","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",1,131,154,"PASCOE, AMANDA, PO BOX 142, KERNVILLE,  CA,  93238, "
KERNVILLE\RENTALS,KERN,15-0051-MP,"11306 KERNVILLE ROAD, KERNVILLE, CA,  93238,  (760) 376-6703","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",19,0,0,"MOORE, THOMAS, BOX 1909, KERNVILLE,  CA,  93238, "
NORTH FORK MHP,KERN,15-0207-MP,"11825 SIERRA WAY, KERNVILLE, CA,  93238,  (760) 379-2046","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",25,0,0,"MERRITT LLC, 11936 HWY 178, LAKE ISABELLA,  CA,  93240, "
MOUNTAIN TERRACE MHP,KERN,15-0244-MP,"11782 SIERRA WAY, KERNVILLE, CA,  93238,  (760) 376-3849","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",6,0,0,"ANDERSON, STEVEN, 11782 SIERRA WAY SPACE # 5, KERNVILLE,  CA,  93238, "
KERN RIVER SEQUOIA RV RESORT,KERN,15-0018-MP,"13801 SIERRA WAY, KERNVILLE, CA,  93238,  (760) 376-6119","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",38,0,30,"WINEGAR, RUSSELL, 2093 PHILADELPHIA PIKE #1932, CLAYMONT,  DE,  19703, "
HI HO RESORT LODGE\MHP,KERN,15-0372-MP,"11901 SIERRA WAY, KERNVILLE, CA,  93238,  (760) 376-2671","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",43,0,0,"HI HO MOBILE HOME PARK & LODGE, LLC, 22880 SAVI RANCH PKWY, YORBA LINDA,  CA,  92887, "
SODA SPRINGS TP,KERN,54-0077-MP,"15 MI N KERNVILLE HC 1 BOX 91, KERNVILLE, CA,  93238,  (760) 376-2462","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,11,0,"FAST, MURL, HC 1 BOX 91, KERNVILLE,  CA,  93238, "
FRANDY PARK CAMPGROUND,KERN,15-0454-MP,"11252 KERNVILLE RD, KERNVILLE, CA,  93238,  (760) 376-6483","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,0,75,"DEMETRIFF, JIM, 12557 RD. 202, PORTERVILLE,  CA,  93257, "
SIERRA MEADOWS MHP LLC,KERN,15-0179-MP,"448 SCODIE AVE, KERNVILLE, CA,  93238,  (760) 518-3240","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",37,14,0,"SERGE PROPERTIES LLC, 638 CAMINO DE LOS MERES SUITE H130-601, SAN CLEMENTE,  CA,  92673, "
